MES,UNIDADES_VENDIDAS_TOTAL,UNIDADES_VENDIDAS_VIP,UNIDADES_VENDIDAS_VIS,UNIDADES_VENDIDAS_NO_VIS,UNIDADES_DISPONIBLES_TOTAL,UNIDADES_DISPONIBLES_VIP,UNIDADES_DISPONIBLES_VIS,UNIDADES_DISPONIBLES_NO_VIS,UNIDADES_LANZADAS_TOTAL,UNIDADES_LANZADAS_VIP,UNIDADES_LANZADAS_VIS,UNIDADES_LANZADAS_NO_VIS,AREA_VENDIDAS_TOTAL,AREA_VENDIDAS_VIP,AREA_VENDIDAS_VIS,AREA_VENDIDAS_NO_VIS,AREA_DISPONIBLES_TOTAL,AREA_DISPONIBLES_VIP,AREA_DISPONIBLES_VIS,AREA_DISPONIBLES_NO_VIS,AREA_LANZADAS_TOTAL,AREA_LANZADAS_VIP,AREA_LANZADAS_VIS,AREA_LANZADAS_NO_VIS,VALOR_VENDIDAS_TOTAL,VALOR_VENDIDAS_VIP,VALOR_VENDIDAS_VIS,VALOR_VENDIDAS_NO_VIS,VALOR_DISPONIBLES_TOTAL,VALOR_DISPONIBLES_VIP,VALOR_DISPONIBLES_VIS,VALOR_DISPONIBLES_NO_VIS,VALOR_LANZADAS_TOTAL,VALOR_LANZADAS_VIP,VALOR_LANZADAS_VIS,VALOR_LANZADAS_NO_VIS
09/01/2016 12:00:00 AM,2433,605,779,1049,16943,446,2999,13498,2312,0,902,1410,141476,28415,36915,76146,1250317,20914,140367,1089037,137704,0,43970,93735,520421,31789,77215,411417,6321663,23094,291501,6007068,534451,0,86953,447498
10/01/2016 12:00:00 AM,2486,397,937,1152,16665,289,3216,13160,2397,240,1131,1026,147112,18573,44824,83715,1236794,13449,154032,1069313,146526,11108,56879,78539,574647,21352,94021,459274,6220530,15028,312341,5893161,533372,13286,111652,408434
11/01/2016 12:00:00 AM,3039,989,905,1145,16823,60,3297,13466,3197,760,986,1451,168845,41164,42974,84707,1254715,2678,158787,1093250,186751,30392,47729,108630,603073,54420,90098,458555,6363163,3091,324118,6035954,721511,42483,101260,577768
12/01/2016 12:00:00 AM,1845,430,629,786,16669,446,2971,13252,1700,816,303,581,110699,20116,30467,60116,1239087,20828,142152,1076107,96444,38266,13831,44347,421822,23572,63479,334771,6218345,24278,293132,5900935,272692,44711,32385,195595
01/01/2017 12:00:00 AM,2179,383,955,841,17000,255,3243,13502,2505,192,1203,1110,130437,17901,46402,66134,1267003,11865,156415,1098723,157673,8938,59650,89085,491491,20953,100278,370261,6294393,13831,328304,5952258,550271,10522,132105,407644
02/01/2017 12:00:00 AM,2536,230,1102,1204,16923,169,3017,13737,2459,144,876,1439,151731,10710,54258,86764,1264271,7752,141546,1114974,149145,6596,39389,103160,586787,12546,113976,460265,6383348,9068,308243,6066037,646939,7783,93340,545816
03/01/2017 12:00:00 AM,2120,213,796,1111,17122,484,2761,13877,2345,528,540,1277,125848,9939,38962,76947,1262446,22628,128780,1111037,126043,24816,26196,75031,501954,11821,81902,408231,6345414,26350,284713,6034351,453871,28907,57218,367746
04/01/2017 12:00:00 AM,1862,322,575,965,16823,186,2763,13874,1563,24,577,962,115705,15066,27776,72863,1254218,8738,129864,1115616,107397,1176,28860,77362,475076,17727,58091,399259,6390807,10211,288007,6092589,506724,1587,62124,443012
05/01/2017 12:00:00 AM,2565,190,1437,938,16985,8,3216,13761,2727,12,1890,825,140441,8930,62008,69502,1250093,372,148291,1101430,136373,564,80435,55374,539701,10463,154892,374345,6457028,450,343625,6112953,596063,703,210497,384863
06/01/2017 12:00:00 AM,1746,3,778,965,17158,5,2929,14224,1919,0,491,1428,110966,141,35430,75395,1270492,231,133209,1137051,131317,0,20349,110968,505334,164,82538,422632,6688415,286,314420,6373709,713665,0,53058,660607
07/01/2017 12:00:00 AM,2193,4,1113,1076,17618,1,3409,14208,2653,0,1593,1060,131937,188,51741,80008,1291437,43,154753,1136640,152882,0,73285,79597,571134,234,117455,453445,6853504,52,362081,6491371,714485,0,164334,550151
08/01/2017 12:00:00 AM,1874,0,769,1105,17833,1,3000,14832,2089,0,360,1729,116533,0,36498,80035,1305901,43,135920,1169938,130997,0,17664,113333,514177,0,82639,431538,6997693,52,319562,6678080,628548,0,39998,588550
09/01/2017 12:00:00 AM,1921,0,855,1066,17762,1,3169,14592,1850,0,1024,826,112794,0,33627,79167,1294171,43,145205,1148922,101063,0,42912,58151,525334,0,96023,429311,6965599,52,339486,6626062,466366,0,115576,350789
10/01/2017 12:00:00 AM,1718,0,586,1132,19271,1,3831,15439,3227,0,1248,1979,109991,0,28777,81213,1378813,43,176967,1201803,194633,0,60539,134094,507377,0,64769,442608,7338014,52,413533,6924429,859410,0,138331,721079
11/01/2017 12:00:00 AM,1771,0,598,1173,19053,1,3708,15344,1553,0,475,1078,112644,0,28285,84359,1359228,43,168600,1190585,93060,0,19919,73141,549382,0,65811,483571,7243972,52,402376,6841545,446070,0,54440,391630
12/01/2017 12:00:00 AM,2244,66,847,1331,20160,31,4206,15923,3351,96,1345,1910,144225,3102,39279,101844,1431696,1453,190135,1240108,216693,4512,60813,151367,680442,3830,92051,584561,7712748,1793,467908,7243048,1111998,5571,155565,950861
01/01/2018 12:00:00 AM,3077,39,1801,1237,20724,47,5032,15645,3641,55,2627,959,177067,1735,81704,93628,1442768,2111,230149,1210508,188139,2393,121718,64028,719176,2260,204622,512295,7729839,2675,559195,7167969,695652,3139,294933,397580
02/01/2018 12:00:00 AM,2781,-38,1796,1023,20722,55,5277,15390,2779,-30,2041,768,150647,-1660,79993,72314,1438904,2469,241333,1195102,146782,-1303,91177,56908,623416,-2044,205199,420261,7732818,3079,588123,7141616,606406,-1641,233000,375047
03/01/2018 12:00:00 AM,2403,34,1382,987,19850,37,4648,15165,1531,16,753,762,134289,1552,63664,69073,1398729,1738,214740,1182251,94115,822,37071,56222,555183,1930,156504,396749,7648923,2067,519399,7127456,451725,919,86894,363912
04/01/2018 12:00:00 AM,1928,20,1103,805,18563,17,4011,14535,641,0,466,175,109173,996,50435,57742,1320849,743,184772,1135334,31293,0,20468,10825,443374,1137,122963,319274,7320079,930,446756,6872394,97560,0,50324,47236
05/01/2018 12:00:00 AM,2589,6,1744,839,19683,11,4973,14699,3709,0,2706,1003,133306,261,74864,58182,1368356,482,216233,1151641,180814,0,106325,74489,548034,328,211592,336114,7643002,602,583446,7058954,850886,0,346198,504688
06/01/2018 12:00:00 AM,2209,205,1315,689,18182,8,3774,14400,708,202,116,390,115177,6405,59054,49718,1286506,340,163001,1123166,33326,6262,5821,21243,461386,12804,154139,294444,7316111,446,444060,6871606,125353,12647,13008,99697
07/01/2018 12:00:00 AM,1821,4,996,821,18166,4,3840,14322,1805,0,1062,743,102898,161,46232,56504,1280267,178,167257,1112832,96659,0,50489,46170,448046,227,114131,333689,7270617,219,451408,6818990,395278,0,120917,274360
08/01/2018 12:00:00 AM,3185,0,1960,1225,18632,4,4152,14476,3651,0,2272,1379,168052,0,85959,82093,1281550,178,183758,1097614,169335,0,102460,66875,737098,0,254899,482199,7290374,219,492945,6797209,740110,0,296061,444049
09/01/2018 12:00:00 AM,3044,0,2005,1039,19738,4,5682,14052,4150,0,3535,615,162322,0,86391,75932,1308119,178,246362,1061579,188891,0,148994,39897,722761,0,257255,465506,7283811,233,673667,6609911,697207,0,436839,260368
10/01/2018 12:00:00 AM,2461,4,1439,1018,18988,110,5120,13758,1711,110,877,724,133546,173,62754,70619,1270054,4761,222781,1042511,95481,4756,39174,51551,605798,228,174242,431328,7147385,6020,608455,6532909,460373,6016,108846,345512
11/01/2018 12:00:00 AM,3015,12,1971,1032,19757,107,5508,14142,3784,9,2359,1416,150867,519,82010,68337,1297870,4631,236822,1056416,178683,389,96051,82242,664854,661,253266,410927,7298268,5852,653697,6638719,794863,492,297999,496372
12/01/2018 12:00:00 AM,2452,39,1446,967,19526,92,5658,13776,2221,24,1596,601,122986,1584,63569,57834,1272932,3978,239911,1029043,98048,930,66657,30460,523348,2324,172865,348159,7179198,5040,676026,6498132,390069,1512,194684,193873
01/01/2019 12:00:00 AM,2257,10,1099,1148,18704,73,5054,13577,1435,-9,495,949,119061,428,48223,70410,1226617,3161,212556,1010900,72746,-389,20868,52267,576025,585,133886,441555,7058795,4228,609715,6444852,433590,-522,63302,370809
02/01/2019 12:00:00 AM,2545,153,1380,1012,18831,160,5040,13631,2672,240,1366,1066,122555,5044,54794,62716,1226115,5752,211269,1009095,122053,7635,53507,60911,594853,9579,182398,402876,7017147,9770,622437,6384939,532822,15120,190199,327503
03/01/2019 12:00:00 AM,1990,17,901,1072,18608,151,5036,13421,1767,8,897,862,110662,773,37822,72067,1209840,5363,210342,994135,94386,384,36895,57107,568388,959,115877,451552,7007516,9248,625389,6372879,536662,438,110610,425615
04/01/2019 12:00:00 AM,2419,118,1372,929,19134,47,5774,13313,2945,14,2110,821,125408,3998,60402,61008,1221859,2037,241413,978409,137427,672,91473,45282,584856,7292,180091,397472,6958525,2721,741435,6214368,512990,766,287670,224554
05/01/2019 12:00:00 AM,3324,116,2382,826,18433,41,4977,13415,2623,110,1585,928,154404,3506,97002,53896,1186908,1778,208946,976184,119453,3247,64535,51671,684046,9037,329741,345268,6811792,2373,636604,6172814,527382,8690,222628,296064
06/01/2019 12:00:00 AM,2483,53,1709,721,18596,37,5597,12962,2646,49,2329,268,123008,2525,69633,50850,1179165,1605,231848,945712,115265,2352,92535,20378,566561,2912,235210,328439,6731958,2142,732090,5997727,474284,2680,329307,142297
